filename,survey_file_name,StartTime,DistanceScore,RecordingDate,Species,Detected,n.scores,template_species,min.score,max.score,template,starttime,ampcutoff
HARPIA_2014-02-04_061500_EST.wav,Audio/AutomatedDetection/TestData/HARPIA_2014-02-04_061500_EST.wav,2014-02-04-06:15:00,2,2/4/2014,Howler,Yes,18439,T,-1.89,2.36,T1,25,-25
HARPIA_2014-02-04_061500_EST.wav,Audio/AutomatedDetection/TestData/HARPIA_2014-02-04_061500_EST.wav,2014-02-04-06:15:00,2,2/4/2014,Howler,Yes,18439,T,-2.16,2.33,T2,0,-25
HARPIA_2014-02-04_061500_EST.wav,Audio/AutomatedDetection/TestData/HARPIA_2014-02-04_061500_EST.wav,2014-02-04-06:15:00,2,2/4/2014,Howler,Yes,18439,T,-1.48,4.6,T3,0,-25
HARPIA_2014-02-04_061500_EST.wav,Audio/AutomatedDetection/TestData/HARPIA_2014-02-04_061500_EST.wav,2014-02-04-06:15:00,2,2/4/2014,Howler,Yes,18439,H,0.84,8.9,T4,3,-25
HARPIA_2014-02-04_061500_EST.wav,Audio/AutomatedDetection/TestData/HARPIA_2014-02-04_061500_EST.wav,2014-02-04-06:15:00,2,2/4/2014,Howler,Yes,18439,H,1.38,8.16,T5,17,-25
PUMA_2013-03-03_064500_EST.wav,Audio/AutomatedDetection/TestData/PUMA_2013-03-03_064500_EST.wav,2013-03-03-06:45:00,3,3/3/2013,Titi,Yes,18439,T,-0.64,4.55,T2,0,-25
PUMA_2013-03-03_064500_EST.wav,Audio/AutomatedDetection/TestData/PUMA_2013-03-03_064500_EST.wav,2013-03-03-06:45:00,3,3/3/2013,Titi,Yes,18439,T,-0.09,4.6,T3,0,-25
PUMA_2013-03-03_064500_EST.wav,Audio/AutomatedDetection/TestData/PUMA_2013-03-03_064500_EST.wav,2013-03-03-06:45:00,3,3/3/2013,Titi,Yes,18439,H,-2.08,3.76,T4,3,-25
PUMA_2013-03-03_064500_EST.wav,Audio/AutomatedDetection/TestData/PUMA_2013-03-03_064500_EST.wav,2013-03-03-06:45:00,3,3/3/2013,Titi,Yes,18439,H,-0.25,3.46,T5,17,-25
PUMA_2013-03-03_064500_EST.wav,Audio/AutomatedDetection/TestData/PUMA_2013-03-03_064500_EST.wav,2013-03-03-06:45:00,3,3/3/2013,Titi,Yes,18439,T,-0.64,4.69,T1,25,-25
PUMA_2014-02-07_074500_EST.wav,Audio/AutomatedDetection/TestData/PUMA_2014-02-07_074500_EST.wav,2014-02-07-07:45:00,2,2/7/2014,Titi,Yes,18439,T,-4.15,8.06,T1,25,-25
PUMA_2014-02-07_074500_EST.wav,Audio/AutomatedDetection/TestData/PUMA_2014-02-07_074500_EST.wav,2014-02-07-07:45:00,2,2/7/2014,Titi,Yes,18439,T,-2.25,9.21,T2,0,-25
PUMA_2014-02-07_074500_EST.wav,Audio/AutomatedDetection/TestData/PUMA_2014-02-07_074500_EST.wav,2014-02-07-07:45:00,2,2/7/2014,Titi,Yes,18439,T,-1.54,13.81,T3,0,-25
PUMA_2014-02-07_074500_EST.wav,Audio/AutomatedDetection/TestData/PUMA_2014-02-07_074500_EST.wav,2014-02-07-07:45:00,2,2/7/2014,Titi,Yes,18439,H,-4.89,7.73,T4,3,-25
PUMA_2014-02-07_074500_EST.wav,Audio/AutomatedDetection/TestData/PUMA_2014-02-07_074500_EST.wav,2014-02-07-07:45:00,2,2/7/2014,Titi,Yes,18439,H,-2.02,5.27,T5,17,-25
PUMA_2014-02-07_080000_EST.wav,Audio/AutomatedDetection/TestData/PUMA_2014-02-07_080000_EST.wav,2014-02-07-08:00:00,4,2/7/2014,Titi,No,18439,T,-1.79,2.64,T1,25,-25
PUMA_2014-02-07_080000_EST.wav,Audio/AutomatedDetection/TestData/PUMA_2014-02-07_080000_EST.wav,2014-02-07-08:00:00,4,2/7/2014,Titi,No,18439,T,-2.32,1.61,T2,0,-25
PUMA_2014-02-07_080000_EST.wav,Audio/AutomatedDetection/TestData/PUMA_2014-02-07_080000_EST.wav,2014-02-07-08:00:00,4,2/7/2014,Titi,No,18439,T,-2.2,1.95,T3,0,-25
PUMA_2014-02-07_080000_EST.wav,Audio/AutomatedDetection/TestData/PUMA_2014-02-07_080000_EST.wav,2014-02-07-08:00:00,4,2/7/2014,Titi,No,18439,H,1.03,5.84,T4,3,-25
PUMA_2014-02-07_080000_EST.wav,Audio/AutomatedDetection/TestData/PUMA_2014-02-07_080000_EST.wav,2014-02-07-08:00:00,4,2/7/2014,Titi,No,18439,H,1.24,4.26,T5,17,-25
