Date,Observer,start_time,start_hour,Beh_When_Enc
11/11/2009,Obs1,7:50:01,7,Vocalizing
11/22/2009,Obs1,9:31:50,9,Vocalizing
11/26/2009,Obs1,8:32:51,8,Vocalizing
11/26/2009,Obs1,10:11:33,10,Vocalizing
12/2/2009,Obs1,14:56:42,14,Vocalizing
12/9/2009,Obs1,7:33:53,7,Vocalizing
6/14/2010,Obs1,8:00:03,8,Vocalizing
6/20/2010,Obs1,10:30:58,10,Vocalizing
6/22/2010,Obs1,7:47:32,7,Vocalizing
6/22/2010,Obs1,9:59:07,9,Vocalizing
6/24/2010,Obs1,7:30:34,7,Vocalizing
6/24/2010,Obs1,16:35:20,16,Vocalizing
6/25/2010,Obs1,8:06:56,8,Vocalizing
6/25/2010,Obs1,8:18:22,8,Vocalizing
6/25/2010,Obs1,8:30:10,8,Vocalizing
6/25/2010,Obs1,8:33:18,8,Vocalizing
6/25/2010,Obs1,14:00:01,14,VDU/
7/12/2010,Obs1,7:17:57,7,Vocalizing
7/13/2010,Obs1,13:23:43,13,Vocalizing
7/20/2010,Obs1,10:26:31,10,Vocalizing
7/20/2010,Obs1,10:27:29,10,Vocalizing
7/22/2010,Obs1,6:00:42,6,Vocalizing
7/28/2010,Obs1,5:58:28,5,Vocalizing
7/29/2010,Obs1,12:33:53,12,Vocalizing
2/26/2011,Obs1,8:04:11,8,VDU/MTA/
2/28/2011,Obs1,6:53:55,6,Vocalizing
3/1/2011,Obs1,6:45:53,6,Vocalizing
3/1/2011,Obs1,6:52:59,6,Vocalizing
3/2/2011,Obs1,6:13:59,6,Vocalizing
3/3/2011,Obs1,6:39:50,6,Vocalizing
3/3/2011,Obs1,8:13:36,8,Vocalizing
3/6/2011,Obs1,6:54:21,6,VWH/DU/
3/6/2011,Obs1,11:33:43,11,VWH/DU/
3/6/2011,Obs1,11:42:46,11,Vocalizing
3/8/2011,Obs1,12:11:46,12,Vocalizing
3/9/2011,Obs1,9:00:45,9,Vocalizing
3/10/2011,Obs1,6:16:27,6,Vocalizing
3/10/2011,Obs1,6:24:00,6,Vocalizing
3/11/2011,Obs1,6:29:12,6,Vocalizing
3/13/2011,Obs1,9:05:54,9,Vocalizing
3/13/2011,Obs1,9:13:55,9,Vocalizing
3/15/2011,Obs1,6:46:07,6,Vocalizing
3/15/2011,Obs1,6:55:52,6,Vocalizing
3/15/2011,Obs1,7:20:43,7,Vocalizing
3/16/2011,Obs1,6:21:36,6,Vocalizing
3/17/2011,Obs1,10:45:17,10,Vocalizing
3/18/2011,Obs1,9:52:42,9,Vocalizing
3/22/2011,Obs1,7:28:53,7,Vocalizing
3/22/2011,Obs1,7:52:22,7,Vocalizing
3/24/2011,Obs1,7:44:15,7,Vocalizing
3/24/2011,Obs1,8:56:20,8,Vocalizing
3/24/2011,Obs1,9:48:14,9,Vocalizing
3/27/2011,Obs1,12:19:50,12,Vocalizing
3/30/2011,Obs1,7:27:07,7,Vocalizing
3/31/2011,Obs1,7:06:00,7,Vocalizing
4/1/2011,Obs1,8:22:08,8,Vocalizing
4/1/2011,Obs1,9:37:48,9,Vocalizing
4/4/2011,Obs1,8:03:26,8,Vocalizing
4/5/2011,Obs1,9:11:41,9,Vocalizing
4/5/2011,Obs1,9:57:20,9,Vocalizing
4/7/2011,Obs1,14:54:00,14,Vocalizing
4/7/2011,Obs1,15:50:00,15,OU/WH/OU/DU/WH/DU/CHI/
4/8/2011,Obs1,6:40:54,6,Vocalizing
4/8/2011,Obs1,9:49:00,9,OU/CHI/DU/WH/DU/
4/8/2011,Obs1,9:58:54,9,Vocalizing
4/8/2011,Obs1,11:28:20,11,Vocalizing
4/8/2011,Obs1,15:29:56,15,OU/DU/WH/OU/OU/DU/LVA/OU/FOA/APA/AR/TL/LVR/FOA/CHI/OU/TC/
4/8/2011,Obs1,15:30:57,15,Vocalizing
4/8/2011,Obs1,15:37:47,15,Vocalizing
4/11/2011,Obs1,6:00:37,6,Vocalizing
4/11/2011,Obs1,6:31:32,6,Vocalizing
4/11/2011,Obs1,6:54:36,6,Vocalizing
4/11/2011,Obs1,7:51:26,7,Vocalizing
4/11/2011,Obs1,9:28:40,9,Vocalizing
4/11/2011,Obs1,10:49:38,10,Vocalizing
4/12/2011,Obs1,6:16:08,6,Vocalizing
4/14/2011,Obs1,15:39:25,15,Vocalizing
4/18/2011,Obs1,6:06:00,6,Vocalizing
4/18/2011,Obs1,8:03:03,8,Vocalizing
4/18/2011,Obs1,8:30:03,8,Vocalizing
4/21/2011,Obs1,6:15:11,6,VDU/
4/21/2011,Obs1,6:48:43,6,Vocalizing
4/24/2011,Obs1,6:29:34,6,Vocalizing
4/24/2011,Obs1,6:58:33,6,Vocalizing
4/24/2011,Obs1,7:07:18,7,Vocalizing
4/24/2011,Obs1,7:37:40,7,Vocalizing
4/25/2011,Obs1,12:22:39,12,Vocalizing
4/26/2011,Obs1,6:50:10,6,Vocalizing
4/26/2011,Obs1,7:11:03,7,Vocalizing
5/18/2011,Obs1,14:35:29,14,Vocalizing
5/18/2011,Obs1,14:38:48,14,Vocalizing
5/20/2011,Obs1,7:36:40,7,Vocalizing
5/21/2011,Obs1,5:26:03,5,Vocalizing
5/21/2011,Obs1,6:07:25,6,Vocalizing
5/21/2011,Obs1,6:12:09,6,Vocalizing
5/21/2011,Obs1,6:18:30,6,Vocalizing
5/21/2011,Obs1,6:55:26,6,Vocalizing
5/23/2011,Obs1,6:48:20,6,Vocalizing
5/23/2011,Obs1,6:57:35,6,Vocalizing
5/23/2011,Obs1,8:21:55,8,Vocalizing
5/24/2011,Obs1,8:44:36,8,Vocalizing
5/24/2011,Obs1,8:58:18,8,Vocalizing
5/25/2011,Obs1,6:45:33,6,Vocalizing
5/26/2011,Obs1,5:39:33,5,Vocalizing
5/27/2011,Obs1,5:32:38,5,Vocalizing
5/27/2011,Obs1,7:05:05,7,Vocalizing
5/27/2011,Obs1,11:47:16,11,Vocalizing
5/27/2011,Obs1,11:49:43,11,Vocalizing
5/27/2011,Obs1,12:51:16,12,Vocalizing
5/27/2011,Obs1,13:19:28,13,Vocalizing
5/27/2011,Obs1,14:19:41,14,Vocalizing
5/30/2011,Obs1,7:20:51,7,Vocalizing
5/31/2011,Obs1,9:15:49,9,Vocalizing
5/31/2011,Obs1,10:39:00,10,VDU/
5/31/2011,Obs1,10:39:31,10,Vocalizing
6/1/2011,Obs1,5:44:22,5,Vocalizing
6/1/2011,Obs1,6:55:06,6,Vocalizing
6/1/2011,Obs1,7:00:48,7,Vocalizing
