ObsSampleID,Date,Observer,Time_Start,Time_End,Activity,Duration
OS09010,7/10/2007,Obs2,6:18:00,14:10:00,Field work - darting,7:52:00
OS09010,7/10/2007,Obs2,14:36:00,16:20:00,Field work - darting,1:44:00
OS09011,7/11/2007,Obs2,13:55:00,17:00:00,Field work - darting,3:05:00
OS09012,7/12/2007,Obs2,12:56:00,17:46:00,Field work - darting,4:50:00
OS09013,7/13/2007,Obs2,12:19:00,14:30:00,Field work - darting,2:11:00
OS09014,7/14/2007,Obs2,9:42:00,11:50:00,Field work - darting,2:08:00
OS09014,7/14/2007,Obs2,11:50:00,12:28:00,Field work - darting,0:38:00
OS09014,7/14/2007,Obs2,12:28:00,12:37:00,Field work - darting,0:09:00
OS09014,7/14/2007,Obs2,14:15:00,18:00:00,Field work - darting,3:45:00
OS09015,7/15/2007,Obs2,7:38:00,9:30:00,Field work - search for groups,1:52:00
OS09015,7/15/2007,Obs2,11:38:00,12:17:00,Field work - search for groups,0:39:00
OS09015,7/15/2007,Obs2,12:17:00,15:38:00,Field work - behavioral data,3:21:00
OS09015,7/15/2007,Obs2,15:38:00,18:40:00,Field work - darting,3:02:00
OS09016,7/16/2007,Obs2,7:42:00,7:42:00,Field work - search for groups,0:00:00
OS09016,7/16/2007,Obs2,8:07:00,12:05:00,Field work - behavioral data,3:58:00
OS09017,7/17/2007,Obs2,6:32:00,12:36:00,Field work - search for groups,6:04:00
OS09017,7/17/2007,Obs2,13:25:00,13:50:00,Field work - search for groups,0:25:00
OS09017,7/17/2007,Obs2,13:50:00,15:14:00,Field work - darting,1:24:00
OS09018,7/18/2007,Obs2,15:24:00,18:00:00,Field work - search for groups,2:36:00
OS09019,7/19/2007,Obs2,9:33:00,10:15:00,Field work - search for groups,0:42:00
OS09019,7/19/2007,Obs2,10:15:00,15:40:00,Field work - darting,5:25:00
OS09020,7/20/2007,Obs2,13:20:00,23:22:00,Field work - search for groups,10:02:00
OS09021,7/21/2007,Obs2,6:35:00,9:08:00,Field work - search for groups,2:33:00
OS09021,7/21/2007,Obs2,9:08:00,13:50:00,Field work - darting,4:42:00
OS09021,7/21/2007,Obs2,13:50:00,15:00:00,Field work - other,1:10:00
OS09021,7/21/2007,Obs2,15:00:00,15:30:00,Field work - other,0:30:00
OS09925,1/5/2008,Obs2,11:49:00,14:52:00,Field work - other,3:03:00
OS09925,1/5/2008,Obs2,15:30:00,17:30:00,Field work - other,2:00:00
OS09926,1/6/2008,Obs2,6:59:00,9:37:00,Field work - other,2:38:00
OS09926,1/6/2008,Obs2,10:06:00,13:15:00,Field work - other,3:09:00
OS09927,1/7/2008,Obs2,8:16:00,9:00:00,Field work - other,0:44:00
OS09927,1/7/2008,Obs2,9:10:00,11:35:00,Field work - darting,2:25:00
OS09927,1/7/2008,Obs2,12:34:00,14:15:00,Field work - darting,1:41:00
OS09928,1/8/2008,Obs2,8:40:00,12:00:00,Field work - darting,3:20:00
OS09928,1/8/2008,Obs2,12:39:00,14:45:00,Field work - darting,2:06:00
OS09929,1/9/2008,Obs2,7:00:00,13:00:00,Field work - darting,6:00:00
OS09930,1/10/2008,Obs2,7:32:00,9:33:00,Field work - darting,2:01:00
OS09930,1/10/2008,Obs2,12:35:00,13:00:00,Field work - search for groups,0:25:00
OS09930,1/10/2008,Obs2,13:03:00,13:18:00,Field work - other,0:15:00
OS09930,1/10/2008,Obs2,13:18:00,13:53:00,Field work - other,0:35:00
OS09930,1/10/2008,Obs2,13:53:00,14:50:00,Field work - search for groups,0:57:00
OS09931,1/11/2008,Obs2,12:50:00,14:30:00,Field work - search for groups,1:40:00
OS09931,1/11/2008,Obs2,14:30:00,17:11:00,Field work - darting,2:41:00
OS09932,1/12/2008,Obs2,7:30:00,12:15:00,Field work - search for groups,4:45:00
OS09932,1/12/2008,Obs2,13:32:00,15:43:00,Field work - darting,2:11:00
OS09932,1/12/2008,Obs2,17:55:00,18:45:00,Field work - other,0:50:00
OS09933,1/13/2008,Obs2,6:05:00,12:03:00,Field work - other,5:58:00
OS09935,1/15/2008,Obs2,9:11:00,14:27:00,Field work - search for groups,5:16:00
OS09936,1/16/2008,Obs2,10:51:00,14:05:00,Field work - search for groups,3:14:00
OS90001,6/10/2008,Obs2,7:30:00,17:00:00,Field work - darting,9:30:00
OS90002,6/11/2008,Obs2,9:30:00,16:37:00,Field work - darting,7:07:00
OS90003,6/12/2008,Obs2,6:57:00,17:17:00,Field work - darting,10:20:00
OS90004,6/13/2008,Obs2,7:30:00,10:30:00,Field work - darting,3:00:00
OS90007,6/16/2008,Obs2,7:08:00,8:40:00,Field work - other,1:32:00
OS90007,6/16/2008,Obs2,12:58:00,16:02:00,Field work - search for groups,3:04:00
OS90007,6/16/2008,Obs2,16:02:00,17:30:00,Field work - returning to camp,1:28:00
OS90008,6/17/2008,Obs2,5:41:00,12:20:00,Field work - behavioral data,6:39:00
OS90008,6/17/2008,Obs2,15:57:00,17:55:00,Field work - search for groups,1:58:00
OS90010,6/18/2008,Obs2,5:30:00,13:00:00,Field work - search for groups,7:30:00
OS90010,6/18/2008,Obs2,13:00:00,14:00:00,Field work - returning to camp,1:00:00
OS90009,6/19/2008,Obs2,14:00:00,17:00:00,Field work - other,3:00:00
OS90011,6/20/2008,Obs2,12:01:00,17:35:00,Field work - search for groups,5:34:00
OS90012,6/21/2008,Obs2,6:30:00,15:15:00,Field work - darting,8:45:00
OS90013,6/22/2008,Obs2,6:41:00,11:09:00,Field work - darting,4:28:00
OS90013,6/22/2008,Obs2,11:09:00,11:30:00,Field work - darting,0:21:00
OS90013,6/22/2008,Obs2,12:35:00,13:29:00,Field work - search for groups,0:54:00
OS90013,6/22/2008,Obs2,13:29:00,14:01:00,Field work - behavioral data,0:32:00
OS90013,6/22/2008,Obs2,14:02:00,17:24:00,Field work - other,3:22:00
OS90014,6/23/2008,Obs2,14:15:00,17:00:00,Field work - search for groups,2:45:00
OS90015,6/24/2008,Obs2,6:48:00,17:30:00,Field work - darting,10:42:00
OS90017,6/26/2008,Obs2,5:55:00,12:47:00,Field work - darting,6:52:00
OS90017,6/26/2008,Obs2,13:20:00,16:30:00,Field work - darting,3:10:00
OS90018,6/27/2008,Obs2,5:57:00,11:12:00,Field work - darting,5:15:00
OS90018,6/27/2008,Obs2,12:49:00,16:45:00,Field work - search for groups,3:56:00
OS90019,6/28/2008,Obs2,5:52:00,8:20:00,Field work - search for groups,2:28:00
OS90019,6/28/2008,Obs2,8:19:00,9:02:00,Field work - search for groups,0:43:00
OS90019,6/28/2008,Obs2,15:13:00,17:36:00,Field work - search for groups,2:23:00
OS90020,6/29/2008,Obs2,6:35:00,8:09:00,Field work - darting,1:34:00
OS90020,6/29/2008,Obs2,14:19:00,16:38:00,Field work - search for groups,2:19:00
OS90110,1/10/2009,Obs2,7:11:27,7:15:27,Field work - search for groups,0:04:00
OS90110,1/10/2009,Obs2,7:15:05,9:40:05,Field work - behavioral data,2:25:00
OS90110,1/10/2009,Obs2,13:29:02,14:23:02,Field work - search for groups,0:54:00
OS90110,1/10/2009,Obs2,14:23:18,15:00:18,Field work - behavioral data,0:37:00
OS90111,1/11/2009,Obs2,7:21:07,7:50:07,Field work - search for groups,0:29:00
OS90111,1/11/2009,Obs2,7:50:48,10:57:48,Field work - behavioral data,3:07:00
OS90111,1/11/2009,Obs2,14:57:47,16:01:57,Field work - search for groups,1:04:10
OS90112,1/12/2009,Obs2,8:22:28,10:36:53,Field work - search for groups,2:14:25
OS90112,1/12/2009,Obs2,12:45:25,13:45:20,Field work - other,0:59:55
OS90113,1/13/2009,Obs2,6:29:30,20:27:30,Field work - darting,13:58:00
OS90113,1/13/2009,Obs2,8:27:15,10:07:15,Field work - darting,1:40:00
OS90113,1/13/2009,Obs2,12:22:28,12:40:28,Field work - search for groups,0:18:00
OS90113,1/13/2009,Obs2,13:40:33,15:33:33,Field work - search for groups,1:53:00
OS90113,1/13/2009,Obs2,15:33:21,17:33:21,Field work - behavioral data,2:00:00
OS90114,1/14/2009,Obs2,11:15:49,12:06:04,Field work - other,0:50:15
OS90114,1/14/2009,Obs2,13:54:43,14:42:31,Field work - other,0:47:48
OS90114,1/14/2009,Obs2,15:53:48,16:03:51,Field work - other,0:10:03
OS90114,1/14/2009,Obs2,16:04:15,16:53:15,Field work - behavioral data,0:49:00
OS90115,1/15/2009,Obs2,8:40:33,10:17:59,Field work - other,1:37:26
OS90115,1/15/2009,Obs2,12:23:57,13:55:50,Field work - other,1:31:53
OS90116,1/16/2009,Obs2,6:04:50,10:18:12,Field work - darting,4:13:22
OS90116,1/16/2009,Obs2,10:18:13,11:12:13,Field work - darting,0:54:00
OS90116,1/16/2009,Obs2,17:07:37,17:33:28,Field work - search for groups,0:25:51
OS90117,1/17/2009,Obs2,7:22:15,9:55:48,Field work - phenology,2:33:33
OS90117,1/17/2009,Obs2,11:36:30,15:22:37,Field work - other,3:46:07
OS99001,6/27/2009,Obs2,6:08:00,16:30:00,Field work - search for groups,10:22:00
OS99002,6/28/2009,Obs2,11:01:00,15:12:00,Field work - search for groups,4:11:00
OS99003,6/29/2009,Obs2,13:48:00,14:40:00,Field work - other,0:52:00
OS99003,6/29/2009,Obs2,14:50:00,17:10:00,Field work - darting,2:20:00
OS99004,6/30/2009,Obs2,7:35:00,15:19:00,Field work - darting,7:44:00
OS99006,7/2/2009,Obs2,6:27:00,9:00:00,Field work - search for groups,2:33:00
OS99006,7/2/2009,Obs2,9:00:00,11:41:00,Field work - search for groups,2:41:00
OS99007,7/3/2009,Obs2,13:28:00,14:30:00,Field work - darting,1:02:00
OS99007,7/3/2009,Obs2,16:34:00,18:13:00,Field work - other,1:39:00
OS99010,7/4/2009,Obs2,5:30:00,7:10:00,Field work - search for groups,1:40:00
OS99010,7/4/2009,Obs2,7:10:00,8:19:00,Field work - behavioral data,1:09:00
OS99010,7/4/2009,Obs2,8:19:00,9:02:00,Field work - search for groups,0:43:00
OS99010,7/4/2009,Obs2,9:02:00,11:00:00,Field work - behavioral data,1:58:00
OS99010,7/4/2009,Obs2,14:30:00,16:00:00,Field work - other,1:30:00
OS99011,7/5/2009,Obs2,8:39:00,11:47:00,Field work - darting,3:08:00
OS99011,7/5/2009,Obs2,14:21:00,16:00:00,Field work - other,1:39:00
OS99011,7/5/2009,Obs2,16:00:00,16:50:00,Field work - darting,0:50:00
OS99011,7/5/2009,Obs2,16:50:00,17:15:00,Field work - returning to camp,0:25:00
OS99011,7/5/2009,Obs2,18:30:00,19:08:00,Field work - other,0:38:00
OS99011,7/5/2009,Obs2,19:08:00,20:08:00,Field work - other,1:00:00
OS99013,7/7/2009,Obs2,6:03:00,9:30:00,Field work - darting,3:27:00
OS99013,7/7/2009,Obs2,11:21:00,16:28:00,Field work - darting,5:07:00
OS99014,7/8/2009,Obs2,6:40:00,9:06:00,Field work - darting,2:26:00
OS99014,7/8/2009,Obs2,9:06:00,9:18:00,Field work - returning to camp,0:12:00
OS99014,7/8/2009,Obs2,11:52:00,13:51:00,Field work - other,1:59:00
OS99015,7/9/2009,Obs2,14:39:00,16:21:00,Field work - other,1:42:00
OS99016,7/10/2009,Obs2,7:30:00,12:20:00,Field work - other,4:50:00
OS99008,7/11/2009,Obs2,6:34:51,14:20:43,Field work - darting,7:45:52
OS99008,7/11/2009,Obs2,14:49:17,17:45:17,Field work - other,2:56:00
OS99009,7/12/2009,Obs2,7:12:30,15:44:15,Field work - darting,8:31:45
OS99018,7/14/2009,Obs2,5:55:31,5:55:31,Field work - darting,0:00:00
OS99019,7/15/2009,Obs2,13:25:17,18:19:18,Field work - other,4:54:01
OS99020,7/16/2009,Obs2,9:44:27,12:00:27,Field work - search for groups,2:16:00
OS99022,7/18/2009,Obs2,8:00:16,13:03:58,Field work - search for groups,5:03:42
OS99023,7/19/2009,Obs2,16:20:21,17:36:33,Field work - other,1:16:12
OS16273,11/25/2009,Obs1,7:15:21,8:00:21,Field work - search for groups,0:45:00
OS16273,11/25/2009,Obs1,8:00:02,10:50:02,Field work - behavioral data,2:50:00
OS16273,11/25/2009,Obs1,13:10:48,14:02:48,Field work - search for groups,0:52:00
OS16273,11/25/2009,Obs1,14:02:58,16:20:58,Field work - behavioral data,2:18:00
OS16274,11/26/2009,Obs1,7:30:19,8:30:19,Field work - search for groups,1:00:00
OS16274,11/26/2009,Obs1,8:30:13,14:10:13,Field work - behavioral data,5:40:00
OS16276,11/28/2009,Obs1,7:30:14,8:10:14,Field work - search for groups,0:40:00
OS16276,11/28/2009,Obs1,10:40:06,12:00:06,Field work - search for groups,1:20:00
OS16276,11/28/2009,Obs1,12:00:41,16:49:41,Field work - behavioral data,4:49:00
OS16276,11/28/2009,Obs1,16:49:14,17:10:14,Field work - mapping trees,0:21:00
OS16278,11/30/2009,Obs1,7:50:06,8:30:06,Field work - search for groups,0:40:00
OS16278,11/30/2009,Obs1,8:30:20,11:40:20,Field work - behavioral data,3:10:00
OS16278,11/30/2009,Obs1,14:40:17,15:16:17,Field work - search for groups,0:36:00
OS16278,11/30/2009,Obs1,15:16:14,16:20:14,Field work - behavioral data,1:04:00
OS16280,12/2/2009,Obs1,9:50:24,10:08:24,Field work - search for groups,0:18:00
OS16280,12/2/2009,Obs1,10:08:09,12:56:09,Field work - behavioral data,2:48:00
OS16280,12/2/2009,Obs1,14:50:40,14:56:40,Field work - search for groups,0:06:00
OS16280,12/2/2009,Obs1,14:56:21,16:10:21,Field work - behavioral data,1:14:00
OS16280,12/2/2009,Obs1,16:10:29,16:30:29,Field work - search for groups,0:20:00
OS16281,12/3/2009,Obs1,7:40:59,8:20:59,Field work - search for groups,0:40:00
OS16281,12/3/2009,Obs1,8:20:54,8:26:54,Field work - behavioral data,0:06:00
OS16281,12/3/2009,Obs1,9:50:27,10:46:27,Field work - search for groups,0:56:00
OS16281,12/3/2009,Obs1,10:46:27,16:40:27,Field work - behavioral data,5:54:00
OS16282,12/4/2009,Obs1,7:15:47,8:23:47,Field work - search for groups,1:08:00
OS16282,12/4/2009,Obs1,8:23:39,16:20:39,Field work - behavioral data,7:57:00
OS16284,12/6/2009,Obs1,7:15:16,7:37:16,Field work - search for groups,0:22:00
OS16284,12/6/2009,Obs1,7:37:54,11:54:54,Field work - behavioral data,4:17:00
OS16284,12/6/2009,Obs1,14:14:19,14:45:19,Field work - search for groups,0:31:00
OS16284,12/6/2009,Obs1,14:45:26,17:00:26,Field work - behavioral data,2:15:00
OS16285,12/7/2009,Obs1,7:15:11,7:48:11,Field work - search for groups,0:33:00
OS16285,12/7/2009,Obs1,7:48:37,8:58:37,Field work - behavioral data,1:10:00
OS16287,12/9/2009,Obs1,7:10:28,7:33:28,Field work - search for groups,0:23:00
OS16287,12/9/2009,Obs1,7:33:39,14:44:39,Field work - behavioral data,7:11:00
OS16288,12/10/2009,Obs1,7:30:50,7:40:50,Field work - search for groups,0:10:00
OS16288,12/10/2009,Obs1,8:34:34,8:42:34,Field work - search for groups,0:08:00
OS16288,12/10/2009,Obs1,8:42:18,12:58:18,Field work - behavioral data,4:16:00
OS16289,12/11/2009,Obs1,8:30:32,8:39:32,Field work - search for groups,0:09:00
OS16289,12/11/2009,Obs1,8:39:42,11:40:42,Field work - behavioral data,3:01:00
OS16291,12/13/2009,Obs1,7:31:12,8:06:12,Field work - search for groups,0:35:00
OS16291,12/13/2009,Obs1,8:06:20,12:08:20,Field work - behavioral data,4:02:00
OS16291,12/13/2009,Obs1,12:45:39,13:30:39,Field work - search for groups,0:45:00
